
MGV-GENOME-0237056_29, VPC-287, NULL
MGV-GENOME-0305206_32, VPC-27, Myoviridae
MGV-GENOME-0324735_36, VPC-9, Siphoviridae
MGV-GENOME-0283539_56, VPC-358, NULL
MGV-GENOME-0319943_70, VPC-9, NULL
MGV-GENOME-0263548_28, VPC-268, NULL
MGV-GENOME-0334654_18, VPC-7371, NULL
MGV-GENOME-0162881_4, VPC-307, NULL
MGV-GENOME-0355264_28, VPC-152, NULL
MGV-GENOME-0198019_39, VPC-45573, NULL
MGV-GENOME-0336213_91, VPC-69, Siphoviridae
MGV-GENOME-0214497_10, VPC-268, Siphoviridae
MGV-GENOME-0208271_28, VPC-27, Myoviridae
MGV-GENOME-0339502_59, VPC-33329, Siphoviridae
MGV-GENOME-0265834_25, VPC-287, NULL
MGV-GENOME-0285225_32, VPC-27, Myoviridae
MGV-GENOME-0150609_19, VPC-6045, Siphoviridae
MGV-GENOME-0330870_37, VPC-9, NULL
MGV-GENOME-0195990_24, VPC-8, Siphoviridae
MGV-GENOME-0177542_20, VPC-8, Siphoviridae
MGV-GENOME-0182968_9, VPC-9, Siphoviridae
MGV-GENOME-0214685_34, VPC-9, Siphoviridae
MGV-GENOME-0273823_53, VPC-9, NULL
MGV-GENOME-0351866_59, VPC-9, NULL
MGV-GENOME-0349407_80, VPC-484, NULL
MGV-GENOME-0316365_45, VPC-27, Myoviridae
MGV-GENOME-0221044_18, VPC-656, Myoviridae
MGV-GENOME-0293919_31, VPC-9, Siphoviridae
MGV-GENOME-0261382_6, VPC-69, Siphoviridae
MGV-GENOME-0217570_27, VPC-8, NULL
MGV-GENOME-0240618_19, VPC-787, Siphoviridae
MGV-GENOME-0128644_17, VPC-1387, Siphoviridae
MGV-GENOME-0308844_47, VPC-5885, Siphoviridae
MGV-GENOME-0362918_132, VPC-5791, NULL
MGV-GENOME-0321752_23, VPC-4196, NULL
MGV-GENOME-0226805_21, VPC-8, NULL
MGV-GENOME-0335896_79, VPC-484, NULL
MGV-GENOME-0227923_34, VPC-8, Siphoviridae
MGV-GENOME-0297682_4, VPC-27, NULL
MGV-GENOME-0308246_21, VPC-656, NULL
MGV-GENOME-0228957_19, VPC-1916, Siphoviridae
MGV-GENOME-0316081_8, VPC-713, Siphoviridae
MGV-GENOME-0319173_42, VPC-656, Myoviridae
MGV-GENOME-0265789_21, VPC-562, NULL
MGV-GENOME-0206368_21, VPC-307, Siphoviridae
MGV-GENOME-0326582_32, VPC-152, Siphoviridae
MGV-GENOME-0330901_28, VPC-33589, NULL
MGV-GENOME-0208634_10, VPC-307, Siphoviridae
MGV-GENOME-0214804_35, VPC-287, NULL
MGV-GENOME-0210709_7, VPC-1219, Siphoviridae
MGV-GENOME-0277713_25, VPC-1219, Siphoviridae
MGV-GENOME-0273367_46, VPC-656, NULL
MGV-GENOME-0195095_16, VPC-502, NULL
MGV-GENOME-0170788_14, VPC-1387, Siphoviridae
MGV-GENOME-0108723_14, VPC-8, Siphoviridae
MGV-GENOME-0325804_47, VPC-4591, NULL
MGV-GENOME-0315480_20, VPC-484, NULL
MGV-GENOME-0347647_39, VPC-152, NULL
MGV-GENOME-0310865_34, VPC-885, Myoviridae
MGV-GENOME-0324276_5, VPC-9, NULL
MGV-GENOME-0284662_1, VPC-45573, Myoviridae
MGV-GENOME-0302874_4, VPC-27, Myoviridae
MGV-GENOME-0234279_19, VPC-283, Siphoviridae
MGV-GENOME-0311690_32, VPC-744, NULL
MGV-GENOME-0263350_51, VPC-1916, NULL
MGV-GENOME-0318193_10, VPC-1718, Myoviridae
MGV-GENOME-0313188_27, VPC-287, NULL
MGV-GENOME-0156942_21, VPC-307, NULL
MGV-GENOME-0139465_24, VPC-283, Siphoviridae
MGV-GENOME-0220108_22, VPC-8, NULL
MGV-GENOME-0224921_20, VPC-885, Myoviridae
MGV-GENOME-0326041_26, VPC-787, Siphoviridae
MGV-GENOME-0286981_39, VPC-9, NULL
MGV-GENOME-0199814_13, VPC-713, Siphoviridae
MGV-GENOME-0305376_29, VPC-287, NULL
MGV-GENOME-0176271_6, VPC-27, Myoviridae
MGV-GENOME-0137168_3, VPC-399166, Siphoviridae
MGV-GENOME-0339175_48, VPC-27, Myoviridae
MGV-GENOME-0345881_81, VPC-484, NULL
MGV-GENOME-0203490_13, VPC-5885, NULL
MGV-GENOME-0238695_16, VPC-152, NULL
MGV-GENOME-0317890_29, VPC-16128, Myoviridae
MGV-GENOME-0353381_125, VPC-69, Siphoviridae
MGV-GENOME-0226648_26, VPC-9, Siphoviridae
MGV-GENOME-0320876_51, VPC-69, Siphoviridae
MGV-GENOME-0208209_6, VPC-27, Myoviridae
MGV-GENOME-0177926_2, VPC-1219, Siphoviridae
MGV-GENOME-0121560_21, VPC-8, Siphoviridae
MGV-GENOME-0309262_47, VPC-69, Siphoviridae
MGV-GENOME-0334651_33, VPC-152, NULL
MGV-GENOME-0317377_36, VPC-1589, NULL
MGV-GENOME-0194969_20, VPC-283, Siphoviridae
MGV-GENOME-0314506_62, VPC-9, Siphoviridae
MGV-GENOME-0134395_3, VPC-502, NULL
MGV-GENOME-0302116_37, VPC-744, NULL
MGV-GENOME-0347858_39, VPC-152, NULL
MGV-GENOME-0348097_29, VPC-69, Siphoviridae
MGV-GENOME-0138433_2, VPC-32844, Siphoviridae
MGV-GENOME-0135045_21, VPC-3984, Siphoviridae
MGV-GENOME-0288935_59, VPC-9, NULL
MGV-GENOME-0214296_16, VPC-8, NULL
MGV-GENOME-4388727_7, VPC-307, Siphoviridae
MGV-GENOME-0139223_19, VPC-283, Siphoviridae
MGV-GENOME-0186180_5, VPC-307, Siphoviridae
MGV-GENOME-0324502_46, VPC-4196, NULL
MGV-GENOME-0263226_29, VPC-3984, NULL
MGV-GENOME-0205862_32, VPC-744, NULL
MGV-GENOME-0320939_70, VPC-69, Siphoviridae
MGV-GENOME-0213769_19, VPC-1718, Myoviridae
MGV-GENOME-0230645_15, VPC-8016, Myoviridae
MGV-GENOME-0171812_5, VPC-307, Siphoviridae
MGV-GENOME-0346923_11, VPC-69, Siphoviridae
MGV-GENOME-0183324_9, VPC-27, NULL
MGV-GENOME-0336510_25, VPC-69, Siphoviridae
MGV-GENOME-0164234_31, VPC-358, Siphoviridae
MGV-GENOME-0204769_13, VPC-1219, NULL
MGV-GENOME-0228495_17, VPC-1718, Myoviridae
MGV-GENOME-0265052_17, VPC-713, Siphoviridae
MGV-GENOME-0309707_36, VPC-27, Myoviridae
MGV-GENOME-0287895_25, VPC-307, Siphoviridae
MGV-GENOME-0326484_58, VPC-9, Siphoviridae
MGV-GENOME-0272109_4, VPC-9, Siphoviridae
MGV-GENOME-0330007_33, VPC-502, NULL
MGV-GENOME-0208304_1, VPC-283, Siphoviridae
MGV-GENOME-0167205_18, VPC-19138, NULL
MGV-GENOME-0332805_39, VPC-885, Myoviridae
MGV-GENOME-0199655_30, VPC-20054, Siphoviridae
MGV-GENOME-0158035_2, VPC-1916, NULL
MGV-GENOME-0258965_26, VPC-268, Siphoviridae
MGV-GENOME-0202037_5, VPC-562, Siphoviridae
MGV-GENOME-0345556_89, VPC-9, Siphoviridae
MGV-GENOME-0197365_22, VPC-3454, Myoviridae
MGV-GENOME-0332502_57, VPC-69, Siphoviridae
MGV-GENOME-0332618_66, VPC-69, Siphoviridae
MGV-GENOME-0227024_16, VPC-268, NULL
MGV-GENOME-0236837_3, VPC-56125, Siphoviridae
MGV-GENOME-0354112_53, VPC-744, Siphoviridae
MGV-GENOME-0320500_80, VPC-484, NULL
MGV-GENOME-0308713_43, VPC-27, Myoviridae
MGV-GENOME-4341304_2, VPC-8016, Myoviridae
MGV-GENOME-0303874_10, VPC-4562, NULL
MGV-GENOME-0348871_29, VPC-7371, NULL
MGV-GENOME-0265622_28, VPC-9, Siphoviridae
MGV-GENOME-0279094_28, VPC-11010, Siphoviridae
MGV-GENOME-0317199_41, VPC-5147, NULL
MGV-GENOME-0346820_77, VPC-484, NULL
MGV-GENOME-0252975_16, VPC-2734, Siphoviridae
MGV-GENOME-0332993_49, VPC-1964, Myoviridae
MGV-GENOME-0326213_36, VPC-713, NULL
MGV-GENOME-0227851_28, VPC-787, Siphoviridae
MGV-GENOME-0163545_18, VPC-14655, Siphoviridae
MGV-GENOME-0326473_42, VPC-656, Myoviridae
MGV-GENOME-0287430_1, VPC-152, NULL
MGV-GENOME-0160059_17, VPC-8327, Siphoviridae
MGV-GENOME-0346346_50, VPC-358, Siphoviridae
MGV-GENOME-0335881_34, VPC-12417, NULL
MGV-GENOME-0303190_29, VPC-307, Siphoviridae
MGV-GENOME-0277683_36, VPC-502, Myoviridae
MGV-GENOME-0130231_13, VPC-283, Siphoviridae
MGV-GENOME-0371094_22, VPC-484, NULL
MGV-GENOME-0328369_66, VPC-9, NULL
MGV-GENOME-0299436_38, VPC-4196, NULL
MGV-GENOME-0168725_11, VPC-8016, Myoviridae
MGV-GENOME-0196024_22, VPC-8, Siphoviridae
MGV-GENOME-0226312_5, VPC-46996, Siphoviridae
MGV-GENOME-0329141_22, VPC-152, Siphoviridae
MGV-GENOME-0267450_49, VPC-358, Siphoviridae
MGV-GENOME-0217712_26, VPC-8, Siphoviridae
MGV-GENOME-0308149_85, VPC-69, Siphoviridae
MGV-GENOME-0304721_29, VPC-152, NULL
MGV-GENOME-0326033_45, VPC-152, NULL
MGV-GENOME-0265257_38, VPC-358, Siphoviridae
MGV-GENOME-0238508_26, VPC-4591, Siphoviridae
MGV-GENOME-0315523_30, VPC-152, NULL
MGV-GENOME-0298688_45, VPC-8016, Myoviridae
MGV-GENOME-0225465_22, VPC-283, Siphoviridae
MGV-GENOME-0222474_25, VPC-713, NULL
MGV-GENOME-0345824_15, VPC-9, NULL
MGV-GENOME-0221298_23, VPC-268, Siphoviridae
MGV-GENOME-0203029_20, VPC-1387, NULL
MGV-GENOME-0132306_8, VPC-8, Siphoviridae
MGV-GENOME-0214441_5, VPC-1718, Myoviridae
MGV-GENOME-0230620_42, VPC-287, NULL
MGV-GENOME-0194014_37, VPC-8, Siphoviridae
MGV-GENOME-0195650_18, VPC-1387, Siphoviridae
MGV-GENOME-0139591_20, VPC-8, Siphoviridae
MGV-GENOME-0209560_6, VPC-27, Myoviridae
MGV-GENOME-0321526_16, VPC-152, Siphoviridae
MGV-GENOME-0252307_41, VPC-2734, Siphoviridae
MGV-GENOME-0129080_22, VPC-1219, Siphoviridae
MGV-GENOME-0309742_37, VPC-885, Myoviridae
MGV-GENOME-0301852_28, VPC-562, NULL
MGV-GENOME-0282243_23, VPC-268, Siphoviridae
MGV-GENOME-0326782_34, VPC-152, NULL
MGV-GENOME-0174408_21, VPC-307, Siphoviridae
MGV-GENOME-0307745_14, VPC-69, Siphoviridae
MGV-GENOME-0234552_36, VPC-27, Myoviridae
MGV-GENOME-0184482_40, VPC-14883, Siphoviridae
MGV-GENOME-0296909_25, VPC-9, NULL
MGV-GENOME-0254422_22, VPC-562, NULL
MGV-GENOME-0169111_23, VPC-8, Siphoviridae
MGV-GENOME-0316542_74, VPC-9, NULL
MGV-GENOME-0304354_34, VPC-27, Myoviridae
MGV-GENOME-0332286_4, VPC-69, Siphoviridae
MGV-GENOME-0326329_74, VPC-152, NULL
MGV-GENOME-0225869_13, VPC-8, Siphoviridae
MGV-GENOME-0236823_36, VPC-713, Siphoviridae
MGV-GENOME-0261416_37, VPC-307, NULL
MGV-GENOME-0329925_15, VPC-502, NULL
MGV-GENOME-0186826_28, VPC-27, Myoviridae
MGV-GENOME-0224734_20, VPC-744, Siphoviridae
MGV-GENOME-0194135_26, VPC-8, NULL
MGV-GENOME-0158096_4, VPC-283, Siphoviridae
MGV-GENOME-0338069_40, VPC-744, NULL
MGV-GENOME-0228063_31, VPC-283, Siphoviridae
MGV-GENOME-0297873_33, VPC-562, NULL
MGV-GENOME-0279826_46, VPC-9, Siphoviridae
MGV-GENOME-0315399_18, VPC-27, Myoviridae
MGV-GENOME-0235785_32, VPC-8, NULL
MGV-GENOME-0335668_69, VPC-9, NULL
MGV-GENOME-0165545_21, VPC-6045, Siphoviridae
MGV-GENOME-0123343_4, VPC-283, Siphoviridae
MGV-GENOME-0157101_25, VPC-283, Siphoviridae
MGV-GENOME-0327003_25, VPC-9, Siphoviridae
MGV-GENOME-0346750_31, VPC-1589, NULL
MGV-GENOME-0354337_66, VPC-69, Siphoviridae
MGV-GENOME-0131542_2, VPC-787, Siphoviridae
MGV-GENOME-0229881_28, VPC-656, NULL
MGV-GENOME-0144983_20, VPC-26704, Siphoviridae
MGV-GENOME-0210730_25, VPC-307, NULL
MGV-GENOME-0255754_26, VPC-287, NULL
MGV-GENOME-0262219_31, VPC-562, NULL
MGV-GENOME-0229539_17, VPC-6766, Siphoviridae
MGV-GENOME-0295301_7, VPC-5885, NULL
MGV-GENOME-0352859_34, VPC-713, Siphoviridae
MGV-GENOME-4370574_22, VPC-358, NULL
MGV-GENOME-0177150_24, VPC-307, Siphoviridae
MGV-GENOME-0151518_3, VPC-8406, Siphoviridae
MGV-GENOME-0184978_19, VPC-283, Siphoviridae
MGV-GENOME-0339192_33, VPC-152, NULL
MGV-GENOME-0301272_38, VPC-287, NULL
MGV-GENOME-0357050_36, VPC-152, NULL
MGV-GENOME-0233589_29, VPC-307, Siphoviridae
MGV-GENOME-0215551_17, VPC-1988, Siphoviridae
MGV-GENOME-0112495_15, VPC-2755, Siphoviridae
MGV-GENOME-0287870_19, VPC-562, NULL
MGV-GENOME-0370196_136, VPC-3444, NULL
MGV-GENOME-0305000_12, VPC-484, NULL
MGV-GENOME-0321847_43, VPC-9, NULL
MGV-GENOME-0262795_12, VPC-656, Myoviridae
MGV-GENOME-0228240_11, VPC-1589, Siphoviridae
MGV-GENOME-0346376_79, VPC-484, NULL
MGV-GENOME-0293632_24, VPC-16128, Myoviridae
MGV-GENOME-0224806_30, VPC-307, Siphoviridae
MGV-GENOME-0334235_34, VPC-69, Siphoviridae
MGV-GENOME-0328572_35, VPC-562, NULL
MGV-GENOME-0315138_41, VPC-152, NULL
MGV-GENOME-0302822_47, VPC-484, NULL
MGV-GENOME-0188882_5, VPC-287, NULL
MGV-GENOME-0243839_37, VPC-885, Myoviridae
MGV-GENOME-0261742_27, VPC-562, NULL
MGV-GENOME-0323383_17, VPC-5147, NULL
MGV-GENOME-0355653_58, VPC-152, NULL
MGV-GENOME-0333043_44, VPC-9, NULL
MGV-GENOME-0275503_51, VPC-268, NULL
MGV-GENOME-0299632_6, VPC-4562, NULL
MGV-GENOME-0272197_32, VPC-307, NULL
MGV-GENOME-4418263_4, VPC-8327, Siphoviridae
MGV-GENOME-0336395_43, VPC-713, Siphoviridae
MGV-GENOME-0330300_22, VPC-9, NULL
MGV-GENOME-0296581_43, VPC-1589, NULL
MGV-GENOME-0353010_102, VPC-9, NULL
MGV-GENOME-0159886_2, VPC-787, Siphoviridae
MGV-GENOME-0287411_34, VPC-287, NULL
MGV-GENOME-0196400_34, VPC-885, Myoviridae
MGV-GENOME-0255435_23, VPC-29351, Siphoviridae
MGV-GENOME-0247742_34, VPC-27, Myoviridae
MGV-GENOME-0355471_63, VPC-5791, NULL
MGV-GENOME-0183312_3, VPC-787, Siphoviridae
MGV-GENOME-0317921_27, VPC-283, Siphoviridae
MGV-GENOME-0261693_26, VPC-562, Myoviridae
MGV-GENOME-0181813_21, VPC-283, Siphoviridae
MGV-GENOME-4427142_33, VPC-152, NULL
MGV-GENOME-0190208_30, VPC-562, Myoviridae
MGV-GENOME-0202464_4, VPC-1718, Myoviridae
MGV-GENOME-0324995_32, VPC-287, NULL
MGV-GENOME-0286619_59, VPC-744, NULL
MGV-GENOME-0179105_16, VPC-283, Siphoviridae
MGV-GENOME-0247786_27, VPC-7371, NULL
MGV-GENOME-0280075_11, VPC-1589, NULL
MGV-GENOME-0272031_14, VPC-9, Siphoviridae
MGV-GENOME-0298051_22, VPC-268, NULL
MGV-GENOME-0221208_15, VPC-8, Siphoviridae
MGV-GENOME-0242095_9, VPC-4591, NULL
MGV-GENOME-0343721_78, VPC-484, NULL
MGV-GENOME-0314740_33, VPC-152, NULL
MGV-GENOME-0322461_34, VPC-27, Myoviridae
MGV-GENOME-0336855_70, VPC-656, NULL
MGV-GENOME-0190136_12, VPC-1219, NULL
MGV-GENOME-0292115_39, VPC-656, Myoviridae
MGV-GENOME-0152654_6, VPC-8, Siphoviridae
MGV-GENOME-0344259_36, VPC-152, NULL
MGV-GENOME-0325666_33, VPC-9, Siphoviridae
MGV-GENOME-0308379_24, VPC-1589, Siphoviridae
MGV-GENOME-0165876_28, VPC-2734, Siphoviridae
MGV-GENOME-0230897_27, VPC-8, NULL
MGV-GENOME-0312541_12, VPC-152, NULL
MGV-GENOME-0157508_12, VPC-1387, Siphoviridae
MGV-GENOME-0295946_47, VPC-27, Myoviridae
MGV-GENOME-0230095_29, VPC-9, NULL
MGV-GENOME-0359842_41, VPC-152, NULL
MGV-GENOME-0223873_19, VPC-358, Siphoviridae
MGV-GENOME-0250660_38, VPC-1589, NULL
MGV-GENOME-0250854_18, VPC-713, Siphoviridae
MGV-GENOME-0273504_65, VPC-358, Siphoviridae
MGV-GENOME-0264933_19, VPC-4560, Siphoviridae
MGV-GENOME-0293599_28, VPC-562, NULL
MGV-GENOME-0284038_46, VPC-1964, Myoviridae
MGV-GENOME-0294351_31, VPC-885, NULL
MGV-GENOME-0293576_21, VPC-713, Siphoviridae
MGV-GENOME-0237229_40, VPC-268, NULL
MGV-GENOME-0246971_18, VPC-268, NULL
MGV-GENOME-0291408_3, VPC-27, Myoviridae
MGV-GENOME-0196138_15, VPC-1387, Siphoviridae
MGV-GENOME-0231694_26, VPC-307, Siphoviridae
MGV-GENOME-0346187_64, VPC-17951, NULL
MGV-GENOME-0230972_52, VPC-283, Siphoviridae
MGV-GENOME-0322441_32, VPC-268, Siphoviridae
MGV-GENOME-0308053_49, VPC-27, Myoviridae
MGV-GENOME-0327363_58, VPC-42875, NULL
MGV-GENOME-0211248_32, VPC-8, NULL
MGV-GENOME-0176715_9, VPC-1916, NULL
MGV-GENOME-0276307_23, VPC-562, NULL
MGV-GENOME-0282889_25, VPC-656, NULL
MGV-GENOME-0190260_26, VPC-283, Siphoviridae
MGV-GENOME-0221980_34, VPC-8, NULL
MGV-GENOME-0337074_17, VPC-744, NULL
MGV-GENOME-0181698_21, VPC-56369, Siphoviridae
MGV-GENOME-0193625_29, VPC-27, Myoviridae
MGV-GENOME-0343580_82, VPC-4562, NULL
MGV-GENOME-0301923_21, VPC-152, NULL
MGV-GENOME-0274894_26, VPC-1988, Siphoviridae
MGV-GENOME-0310799_34, VPC-27, Myoviridae
MGV-GENOME-0221964_18, VPC-8, Siphoviridae
MGV-GENOME-0331923_53, VPC-9, Siphoviridae
MGV-GENOME-0173426_1, VPC-140413, Siphoviridae
MGV-GENOME-0149236_16, VPC-8, NULL
MGV-GENOME-0286218_22, VPC-358, Siphoviridae
MGV-GENOME-0315102_30, VPC-562, NULL
MGV-GENOME-0229126_23, VPC-8, NULL
MGV-GENOME-0331315_29, VPC-287, NULL
MGV-GENOME-0214299_38, VPC-6766, Siphoviridae
MGV-GENOME-0258335_5, VPC-152, NULL
MGV-GENOME-0142468_6, VPC-283, Siphoviridae
MGV-GENOME-0232779_26, VPC-8, NULL
MGV-GENOME-0213169_33, VPC-27, Myoviridae
MGV-GENOME-0221501_47, VPC-8, Siphoviridae
MGV-GENOME-0220002_18, VPC-8, NULL
MGV-GENOME-0207990_23, VPC-2734, NULL
MGV-GENOME-0304884_39, VPC-656, Myoviridae
MGV-GENOME-0344931_40, VPC-8, Siphoviridae
MGV-GENOME-0253888_58, VPC-9, Siphoviridae
MGV-GENOME-0224596_5, VPC-17652, NULL
MGV-GENOME-0307179_14, VPC-5147, NULL
MGV-GENOME-0355464_25, VPC-152, NULL
MGV-GENOME-0169162_22, VPC-9, NULL
MGV-GENOME-4392490_12, VPC-1387, Siphoviridae
MGV-GENOME-0258799_56, VPC-287, NULL
MGV-GENOME-0216845_29, VPC-283, Siphoviridae
MGV-GENOME-0335619_24, VPC-69, Siphoviridae
MGV-GENOME-0163457_24, VPC-307, Siphoviridae
MGV-GENOME-0259704_30, VPC-287, NULL
MGV-GENOME-0320702_34, VPC-9, NULL
MGV-GENOME-0198650_28, VPC-307, Siphoviridae
MGV-GENOME-0311429_41, VPC-27, Myoviridae
MGV-GENOME-0270208_15, VPC-4196, Siphoviridae
MGV-GENOME-0222392_14, VPC-787, Siphoviridae
MGV-GENOME-0333088_49, VPC-744, NULL
MGV-GENOME-0159287_18, VPC-12361, NULL
MGV-GENOME-0107523_11, VPC-2755, Siphoviridae
MGV-GENOME-0215038_27, VPC-713, NULL
MGV-GENOME-0325398_10, VPC-69, Siphoviridae
MGV-GENOME-0318992_34, VPC-152, NULL
MGV-GENOME-0307054_24, VPC-1718, Myoviridae
MGV-GENOME-0375077_70, VPC-744, NULL
MGV-GENOME-0307412_44, VPC-1964, NULL
MGV-GENOME-0218945_16, VPC-8, NULL
MGV-GENOME-0261662_30, VPC-713, Myoviridae
MGV-GENOME-0334237_90, VPC-365137, Siphoviridae
MGV-GENOME-0243234_26, VPC-21199, Siphoviridae
MGV-GENOME-0128393_6, VPC-8, Siphoviridae
MGV-GENOME-0139065_18, VPC-8, Siphoviridae
MGV-GENOME-0250582_34, VPC-8, NULL
MGV-GENOME-0134811_12, VPC-787, Siphoviridae
MGV-GENOME-0230123_11, VPC-8, Siphoviridae
MGV-GENOME-0278718_21, VPC-1219, NULL
MGV-GENOME-0254643_38, VPC-9, Siphoviridae
MGV-GENOME-0332755_61, VPC-1964, NULL
MGV-GENOME-0237054_14, VPC-1916, NULL
MGV-GENOME-0284115_2, VPC-1988, NULL
MGV-GENOME-0237944_8, VPC-656, NULL
MGV-GENOME-0275646_26, VPC-4196, Siphoviridae
MGV-GENOME-0235271_26, VPC-69, Siphoviridae
MGV-GENOME-0226154_31, VPC-787, Siphoviridae
MGV-GENOME-4420760_28, VPC-562, Myoviridae
MGV-GENOME-0240427_31, VPC-2734, Siphoviridae
MGV-GENOME-0213572_36, VPC-307, Siphoviridae
MGV-GENOME-0251444_39, VPC-1916, NULL
MGV-GENOME-0243600_34, VPC-3984, Siphoviridae
MGV-GENOME-0364109_42, VPC-152, NULL
MGV-GENOME-0216523_17, VPC-8, NULL
MGV-GENOME-0163712_35, VPC-2734, Siphoviridae
MGV-GENOME-0107322_5, VPC-1387, Siphoviridae
MGV-GENOME-0304010_28, VPC-713, Siphoviridae
MGV-GENOME-0247509_23, VPC-656, NULL
MGV-GENOME-0345660_26, VPC-484, NULL
MGV-GENOME-0257478_33, VPC-787, Siphoviridae
MGV-GENOME-0278612_18, VPC-268, NULL
MGV-GENOME-0195357_10, VPC-268, NULL
MGV-GENOME-0265870_11, VPC-9, NULL
MGV-GENOME-0185732_20, VPC-46078, Siphoviridae
MGV-GENOME-0184776_30, VPC-283, Siphoviridae
MGV-GENOME-4427097_35, VPC-152, NULL
MGV-GENOME-0136127_11, VPC-8, Siphoviridae
MGV-GENOME-0322625_22, VPC-287, Siphoviridae
MGV-GENOME-0225264_28, VPC-287, NULL
MGV-GENOME-0315693_22, VPC-1387, Siphoviridae
MGV-GENOME-0360499_42, VPC-152, NULL
MGV-GENOME-0225784_24, VPC-1988, Siphoviridae
MGV-GENOME-0223472_16, VPC-8, NULL
MGV-GENOME-0284307_34, VPC-152, NULL
MGV-GENOME-0349936_5, VPC-5791, NULL
MGV-GENOME-0248671_34, VPC-8406, Siphoviridae
MGV-GENOME-0188910_17, VPC-1219, Siphoviridae
MGV-GENOME-0336887_35, VPC-12417, NULL
MGV-GENOME-0290290_37, VPC-4196, NULL
MGV-GENOME-0297604_29, VPC-307, Siphoviridae
MGV-GENOME-0317175_70, VPC-9, Siphoviridae
MGV-GENOME-0104724_1, VPC-20054, Siphoviridae
MGV-GENOME-0181901_23, VPC-9, Siphoviridae
MGV-GENOME-0197797_19, VPC-12361, NULL
MGV-GENOME-0261136_21, VPC-307, Siphoviridae
MGV-GENOME-0170284_24, VPC-307, Siphoviridae
MGV-GENOME-0219483_25, VPC-8, NULL
MGV-GENOME-0312338_23, VPC-33905, NULL
MGV-GENOME-0186917_14, VPC-283, Siphoviridae
MGV-GENOME-0145921_24, VPC-1916, NULL
MGV-GENOME-0213232_41, VPC-27, Myoviridae
MGV-GENOME-0353624_106, VPC-4562, NULL
MGV-GENOME-0284912_23, VPC-283, Siphoviridae
MGV-GENOME-0263485_31, VPC-23996, Siphoviridae
MGV-GENOME-0339238_84, VPC-268, NULL
MGV-GENOME-0375379_56, VPC-4562, NULL
MGV-GENOME-0243274_21, VPC-1589, NULL
MGV-GENOME-0222133_37, VPC-358, Siphoviridae
MGV-GENOME-0228949_25, VPC-8, Siphoviridae
MGV-GENOME-0341295_31, VPC-502, NULL
MGV-GENOME-0328639_6, VPC-69, Siphoviridae
MGV-GENOME-0298160_32, VPC-9, NULL
MGV-GENOME-0231350_2, VPC-152, Siphoviridae
MGV-GENOME-0331672_68, VPC-69, Siphoviridae
MGV-GENOME-0218903_39, VPC-23207, Siphoviridae
MGV-GENOME-0175833_17, VPC-3984, Siphoviridae
MGV-GENOME-0148267_4, VPC-787, Siphoviridae
MGV-GENOME-0274955_21, VPC-502, NULL
MGV-GENOME-0271539_24, VPC-27, Myoviridae
MGV-GENOME-0333215_37, VPC-9, Siphoviridae
MGV-GENOME-0142084_6, VPC-283, Siphoviridae
MGV-GENOME-0319196_40, VPC-152, NULL
MGV-GENOME-0212880_20, VPC-9, Siphoviridae
MGV-GENOME-0212329_31, VPC-358, Siphoviridae
MGV-GENOME-0287012_44, VPC-9, Siphoviridae
MGV-GENOME-0217711_10, VPC-17246, NULL
MGV-GENOME-0205382_20, VPC-8, NULL
MGV-GENOME-0223622_18, VPC-53357, Siphoviridae
MGV-GENOME-0343536_78, VPC-484, NULL
MGV-GENOME-0167897_28, VPC-3454, Myoviridae
MGV-GENOME-0246101_28, VPC-2734, Siphoviridae
MGV-GENOME-0132627_18, VPC-8, NULL
MGV-GENOME-0320782_32, VPC-885, Myoviridae
MGV-GENOME-0325642_72, VPC-69, Siphoviridae
MGV-GENOME-0240204_30, VPC-3984, NULL
MGV-GENOME-0250510_32, VPC-307, Myoviridae
MGV-GENOME-0231573_2, VPC-268, Siphoviridae
MGV-GENOME-0327231_79, VPC-9, Siphoviridae
MGV-GENOME-4405138_2, VPC-283, Siphoviridae
MGV-GENOME-0308989_21, VPC-69, Siphoviridae
MGV-GENOME-4407742_25, VPC-656, Myoviridae
MGV-GENOME-0214123_15, VPC-6766, Siphoviridae
MGV-GENOME-0255221_27, VPC-744, NULL
MGV-GENOME-0304799_32, VPC-3984, Siphoviridae
MGV-GENOME-0235244_20, VPC-713, Siphoviridae
MGV-GENOME-0311750_71, VPC-5147, NULL
MGV-GENOME-0343107_22, VPC-3444, NULL
MGV-GENOME-0190459_8, VPC-30315, Siphoviridae
MGV-GENOME-0327336_44, VPC-152, NULL
MGV-GENOME-0329728_15, VPC-69, Siphoviridae
MGV-GENOME-0201207_30, VPC-60859, NULL
MGV-GENOME-0131170_8, VPC-8, Siphoviridae
MGV-GENOME-0242445_14, VPC-1589, NULL
MGV-GENOME-0223728_21, VPC-8, NULL
MGV-GENOME-0348828_19, VPC-484, NULL
MGV-GENOME-0323564_29, VPC-502, Myoviridae
MGV-GENOME-0050263_16, VPC-2755, Siphoviridae
MGV-GENOME-0302802_37, VPC-562, Myoviridae
MGV-GENOME-0141094_11, VPC-7295, Siphoviridae
MGV-GENOME-0198278_24, VPC-17246, Siphoviridae
MGV-GENOME-0181221_9, VPC-8, Siphoviridae
MGV-GENOME-0338447_36, VPC-9, NULL
